author,title,place,date,location,year,lifted,source
MARX Karl,The Communist Manifesto,None,1848,TUR,1979,2013,Karaca  Emin: Vaaay Kitabin Basina Gelenler!.. Istanbul: Belge Yayinlari 2013.
MARX Karl,The Communist Manifesto,None,1848,GRC,1967,1969,ASKI (Contemporary Social History Archives). Leitung: Ilias Nikolakopoulus. 1992-heute.
MARX Karl,The Communist Manifesto,None,1848,GER,1967,1969,ASKI (Contemporary Social History Archives). Leitung: Ilias Nikolakopoulus. 1992-heute.
MARX Karl,The Communist Manifesto,None,1848,USA,1967,1969,ASKI (Contemporary Social History Archives). Leitung: Ilias Nikolakopoulus. 1992-heute.
TWAIN Mark,The adventures of Tom Sawyer,None,1876,ESP,1939,1976,individual research
TWAIN Mark,The adventures of Tom Sawyer,None,1876,BRA,1937,2024,https://www.nytimes.com/1937/10/27/archives/-tom-sawyer-banned-as-radical-in-brazil-mark-twains-book-ordered.html
EINSTEIN Albert,All Works of Einstein,None,1909,GER,1933,1945,Verbannte Bücher. Berlin. https://www.berlin.de/berlin-im-ueberblick/geschichte/berlin-im-nationalsozialismus/verbannte-buecher/
EINSTEIN Albert,All Works of Einstein,None,1909,AUT,1938,1945,Verbannte Bücher. Berlin. https://www.berlin.de/berlin-im-ueberblick/geschichte/berlin-im-nationalsozialismus/verbannte-buecher/
HITLER Adolf,Mein Kampf,Deutschland,1925,POL,1947,1992,Capon  Felicity: Top 20 books they tried to ban. In: Telegraph  20.10.2014.
HITLER Adolf,Mein Kampf,Deutschland,1925,AUT,1947,1992,Capon  Felicity: Top 20 books they tried to ban. In: Telegraph  20.10.2014.
HITLER Adolf,Mein Kampf,Deutschland,1925,GER,1945,2016,None
HITLER Adolf,Mein Kampf,Deutschland,1925,RUS,2010,2024,None
HUXLEY Aldous,Brave new World,U.K.,1932,AUS,1932,1937,Banned Books in Australia: A Selection. University of Melbourne. https://web.archive.org/web/20160105024437/http://www.lib.unimelb.edu.au/collections/special/exhibitions/bannedbooks/exhibition/australia.html
HUXLEY Aldous,Brave new World,U.K.,1932,IND,1967,2024,None
POWELL William,The Anarchist Cookbook,USA,1971,AUS,1985,2024,Saner  Emine: Why the author of the Anarchist Cookbook wants it taken off the shelves. The Guardian. http://www.theguardian.com/world/shortcuts/2013/dec/18/why-anarchist-cookbook-author-william-powell-off-shelves
POWELL William,The Anarchist Cookbook,USA,1971,UK,1971,2024,Saner  Emine: Why the author of the Anarchist Cookbook wants it taken off the shelves. The Guardian. http://www.theguardian.com/world/shortcuts/2013/dec/18/why-anarchist-cookbook-author-william-powell-off-shelves
RUSHDIE Salman,The Satanic Verses,GB,1988,EGY,1988,2024,Bald  Margaret: Banned Books : Literature Suppressed on Religious Grounds. New York 2006  p. 291-300.
RUSHDIE Salman,The Satanic Verses,GB,1988,IRN,1988,2024,Bald  Margaret: Banned Books : Literature Suppressed on Religious Grounds. New York 2006  p. 291-300.
RUSHDIE Salman,The Satanic Verses,GB,1988,BGD,1988,2024,Bald  Margaret: Banned Books : Literature Suppressed on Religious Grounds. New York 2006  p. 291-300.
RUSHDIE Salman,The Satanic Verses,GB,1988,THA,1988,2024,Bald  Margaret: Banned Books : Literature Suppressed on Religious Grounds. New York 2006  p. 291-300.
RUSHDIE Salman,The Satanic Verses,GB,1988,ZAF,1988,2024,Bald  Margaret: Banned Books : Literature Suppressed on Religious Grounds. New York 2006  p. 291-300.
RUSHDIE Salman,The Satanic Verses,GB,1988,PAK,1988,2024,None
RUSHDIE Salman,The Satanic Verses,GB,1988,SD,1988,2024,None
RUSHDIE Salman,The Satanic Verses,GB,1988,MYS,1988,2024,None
RUSHDIE Salman,The Satanic Verses,GB,1988,SOM,1988,2024,None
RUSHDIE Salman,The Satanic Verses,GB,1988,QAT,1988,2024,None
JAMES E. L.,Fifty Shades of Gray,Australien,2011,MYS,2015,2024,After movie ban  ministry declares 'Fifty Shades' books illegal. In: The Malaysian Insider  16.03.2015.
JAMES E. L.,Fifty Shades of Gray,Australien,2011,BRA,2013,2024,https://web.archive.org/web/20150223011759/http://bigstory.ap.org/article/brazil-judge-orders-50-shades-grey-removed
KOBABE Maia,Gender Queer: A Memoir,None,2019,USA,2021,2024,https://pen.org/report/banned-usa-growing-movement-to-censor-books-in-schools/