title,title_count
Gedichte,117
Novellen,20
Deutsche Kurzschrift,17
Albert Leo Schlageter,13
Hindenburg,12
Kleine Weltgeschichte zum Unterricht und zur Unterhaltung,11
Omnes fabulae amatoriae,11
Poezye,11
Tannenberg,11
Adolf Hitler,11
Der Weltkrieg,10
Horst Wessel,10
Oeuvres choisies,9
Lehrbuch der Deutschen Kurzschrift,9
Oeuvres,8
Poesie,8
Gesammelte Schriften,8
Deutsche Geschichte,8
Kameraden,8
Dichtungen,8
Don Juan,8
Ce que je crois,7
Schlageter,7
Der Bolschewismus,7
Lehrbuch der deutschen Kurzschrift,7
Gedichte,7
Vermischte Schriften,6
Lehrgang der deutschen Kurzschrift,6
Ulysses,6
Vielliebchen. Historisch-romantisches Taschenbuch,6
Without Remorse,6
Versailles,6
Mein Leben,6
Rosen. Ein Taschenbuch,6
A Time to Kill,6
Memoiren,6
Der deutsche Mensch,6
Das Reich,6
Dali,5
Volk und Staat,5
Annalen der brittischen Geschichte,5
Skagerrak,5
Casanova,5
Geschichte des deutschen Volkes,5
Mussolini,5
Diyalektik ve Tarihsel Materyalizmin Alfabesi,5
Janus oder Erinnerungen einer Reise durch Deutschland  Frankreich und Italien,5
Fanny Hill,5
Candy,5
The Bluest Eye,5
Arbeitsrecht,5
Poemas,5
Werke,5
Sonnenwende,5
Lehrgang der Deutschen Kurzschrift,5
Deutschland,5
Heimkehr,5
Master of the Game,5
Serial Killers,5
Teutsche Staatskanzley,5
Die deutsche Wehrmacht,5
Novelas,5
The Satanic Verses,5
Poetische Versuche,5